Accession	Organism	Kingdom	Sequence length	SP cleavage	label	N-term transmembrane	fold
P33447	Trypanosoma cruzi	Other	416		0	False	2
P48164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	190		0	False	3
Q07923	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	191		0	False	0
P61244	Homo sapiens	Metazoa	160		0	False	2
P53854	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	179		0	False	3
Q8WYA6	Homo sapiens	Metazoa	563		0	False	0
Q9LY23	Arabidopsis thaliana	Viridiplantae	286		0	False	2
P53867	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	494		0	False	4
O04211	Arabidopsis thaliana	Viridiplantae	111		0	False	3
Q38895	Arabidopsis thaliana	Viridiplantae	204		0	False	1
Q7Z4V0	Homo sapiens	Metazoa	828		0	False	4
Q91876	Xenopus laevis	Metazoa	720		0	False	1
P56383	Mus musculus	Metazoa	146		0	True	0
Q6PEM8	Mus musculus	Metazoa	459		0	True	0
P11101	Rattus norvegicus	Metazoa	114		0	False	1
Q09858	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	205		0	False	1
Q14657	Homo sapiens	Metazoa	143		0	False	4
P17677	Homo sapiens	Metazoa	238		0	False	1
Q149B8	Mus musculus	Metazoa	807		0	False	4
Q5ND04	Mus musculus	Metazoa	624		0	False	3
O00841	Dictyostelium discoideum	Other	802		0	False	0
Q12080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	455		0	False	2
Q9Y2U8	Homo sapiens	Metazoa	911		0	False	0
P86924	Trypanosoma brucei brucei	Other	416		0	False	3
Q9SU50	Arabidopsis thaliana	Viridiplantae	626		0	True	1
P16455	Homo sapiens	Metazoa	207		0	False	1
O43822	Homo sapiens	Metazoa	256		0	False	3
Q8TDB4	Homo sapiens	Metazoa	240		0	True	0
Q9XFT3	Arabidopsis thaliana	Viridiplantae	224		0	False	1
O95359	Homo sapiens	Metazoa	2948		0	False	4
O75665	Homo sapiens	Metazoa	1012		0	False	4
Q7JXA8	Drosophila melanogaster	Metazoa	418		0	False	0
Q9LKX9	Zea mays	Viridiplantae	867		0	False	4
E9Q7G0	Mus musculus	Metazoa	2094		0	False	3
P32874	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2273		0	False	0
P10690	Spinacia oleracea	Viridiplantae	140		0	False	4
Q3ZBF9	Bos taurus	Metazoa	296		0	False	2
Q96GX5	Homo sapiens	Metazoa	879		0	False	1
Q5VZV1	Homo sapiens	Metazoa	264		0	False	0
G1UH28	Punica granatum	Viridiplantae	299		0	False	4
Q02983	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	363		0	False	2
G5EEW6	Caenorhabditis elegans	Metazoa	427		0	False	1
Q86WQ0	Homo sapiens	Metazoa	139		0	False	1
P53930	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	226		0	False	3
P17655	Homo sapiens	Metazoa	700		0	False	2
Q9NW15	Homo sapiens	Metazoa	660		0	False	1
P07332	Homo sapiens	Metazoa	822		0	False	3
O35484	Mus musculus	Metazoa	448		0	False	3
Q96TA1	Homo sapiens	Metazoa	746		0	False	0
P36144	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274		0	False	4
Q9LTY1	Arabidopsis thaliana	Viridiplantae	726		0	False	0
E9Q557	Mus musculus	Metazoa	2883		0	False	0
Q9FVW4	Arabidopsis thaliana	Viridiplantae	482		0	False	4
Q91VX9	Mus musculus	Metazoa	697		0	True	1
Q6NVG5	Mus musculus	Metazoa	214		0	False	2
P20050	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	605		0	False	3
Q9LVD0	Arabidopsis thaliana	Viridiplantae	289		0	False	0
O60683	Homo sapiens	Metazoa	326		0	True	0
P32790	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1244		0	False	1
P47139	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	656		0	False	0
O13859	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	285		0	False	3
Q9HDB9	Homo sapiens	Metazoa	667		0	False	0
P38193	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	441		0	False	3
Q05519	Homo sapiens	Metazoa	484		0	False	1
Q9VV74	Drosophila melanogaster	Metazoa	226		0	False	1
Q80U72	Mus musculus	Metazoa	1665		0	False	3
P11943	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	134		0	False	4
Q9SCJ9	Arabidopsis thaliana	Viridiplantae	1067		0	False	0
Q8L748	Arabidopsis thaliana	Viridiplantae	1101		0	False	0
D3ZUI5	Rattus norvegicus	Metazoa	1133		0	False	1
Q9ASS2	Arabidopsis thaliana	Viridiplantae	601		0	False	1
K9NVA6	Hematodinium sp	Other	132		0	False	0
P38850	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1070		0	False	4
P38793	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	499		0	False	1
Q9Y7M6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	217		0	False	4
Q59H18	Homo sapiens	Metazoa	835		0	False	4
Q8R4P5	Mus musculus	Metazoa	757		0	False	0
Q96QA5	Homo sapiens	Metazoa	445		0	False	3
Q80VL1	Mus musculus	Metazoa	560		0	False	1
Q8CD10	Mus musculus	Metazoa	432		0	False	0
P48329	Cyanophora paradoxa	Other	180		0	False	3
Q7M0E7	Rattus norvegicus	Metazoa	145		0	False	1
O14277	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	203		0	False	4
P33400	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	625		0	False	2
P32904	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	214		0	False	0
O65370	Arabidopsis thaliana	Viridiplantae	138		0	False	3
P49685	Homo sapiens	Metazoa	360		0	True	4
P56765	Arabidopsis thaliana	Viridiplantae	488		0	False	4
O74975	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	362		0	False	3
Q57UZ7	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	550		0	False	2
P23225	Zea mays	Viridiplantae	1616		0	False	4
Q80XL6	Mus musculus	Metazoa	779		0	False	1
Q9BQS6	Homo sapiens	Metazoa	159		0	False	1
O94519	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	311		0	False	4
P25578	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	521		0	False	3
Q04279	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	960		0	False	4
Q8GS60	Arabidopsis thaliana	Viridiplantae	462		0	False	3
Q96EQ9	Mus musculus	Metazoa	843		0	False	0
P33240	Homo sapiens	Metazoa	577		0	False	2
O04121	Spinacia oleracea	Viridiplantae	439		0	False	0
O13853	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	742		0	False	2
P38985	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	146		0	False	1
Q9VMD0	Drosophila melanogaster	Metazoa	1659		0	False	0
Q8N2Z9	Homo sapiens	Metazoa	138		0	False	4
Q9LNE8	Arabidopsis thaliana	Viridiplantae	200		0	False	1
Q8CHP0	Mus musculus	Metazoa	950		0	False	2
Q94AX2	Arabidopsis thaliana	Viridiplantae	277		0	False	3
Q9P0U1	Homo sapiens	Metazoa	55		0	True	4
Q9H078	Homo sapiens	Metazoa	707		0	False	2
Q9BY66	Homo sapiens	Metazoa	1539		0	False	3
Q94BQ3	Arabidopsis thaliana	Viridiplantae	757		0	False	0
P03920	Bos taurus	Metazoa	606		0	True	0
P53899	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	274		0	False	4
Q9Y7U4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	328		0	False	0
P38088	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	690		0	False	1
Q9P7A0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	319		0	False	2
Q9UBI1	Homo sapiens	Metazoa	195		0	False	1
Q06162	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	153		0	False	2
Q06116	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	2489		0	True	0
O13911	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	408		0	False	1
Q5XVG3	Arabidopsis thaliana	Viridiplantae	287		0	False	0
P01100	Homo sapiens	Metazoa	380		0	False	1
Q9NXR7	Homo sapiens	Metazoa	383		0	False	4
O74879	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	634		0	False	0
Q9FNY2	Arabidopsis thaliana	Viridiplantae	385		0	False	2
A0A076FFM5	Ocimum basilicum	Viridiplantae	523		0	False	4
Q02890	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	363		0	False	4
Q8IVH4	Homo sapiens	Metazoa	418		0	False	4
Q9GSF8	Euplotes aediculatus	Other	437		0	False	0
Q09XV5	Mus musculus	Metazoa	2582		0	False	1
Q8L983	Arabidopsis thaliana	Viridiplantae	218		0	False	2
Q96RG2	Homo sapiens	Metazoa	1323		0	False	0
A4F267	Rattus norvegicus	Metazoa	308		0	False	2
P53692	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1140		0	False	4
Q7XYY2	Arabidopsis thaliana	Viridiplantae	836		0	False	2
Q05568	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	337		0	True	4
P03871	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	373		0	False	0
P24349	Caenorhabditis elegans	Metazoa	1201		0	False	0
P33418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1100		0	False	4
Q7ZT82	Danio rerio	Metazoa	382		0	False	3
B2D6M2	Caenorhabditis elegans	Metazoa	612		0	False	2
O74424	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1837		0	False	2
O82504	Arabidopsis thaliana	Viridiplantae	1133		0	False	4
Q8R139	Mus musculus	Metazoa	528		0	True	2
Q10187	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	612		0	False	2
O15084	Homo sapiens	Metazoa	1053		0	False	4
Q8GRN0	Arabidopsis thaliana	Viridiplantae	222		0	False	4
Q8VYD2	Arabidopsis thaliana	Viridiplantae	386		0	False	3
Q05541	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	303		0	False	2
P38890	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	526		0	False	1
A0A120KVW2	Trypanosoma brucei brucei	Other	1136		0	False	0
Q0J995	Oryza sativa subsp. japonica	Viridiplantae	424		0	False	4
Q9NX47	Homo sapiens	Metazoa	278		0	False	4
B7SXM5	Danio rerio	Metazoa	180		0	False	2
Q9SX65	Arabidopsis thaliana	Viridiplantae	156		0	False	2
O14368	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	143		0	False	1
Q9Y2Y6	Homo sapiens	Metazoa	226		0	True	2
Q6IPU0	Homo sapiens	Metazoa	288		0	False	2
F4JZG9	Arabidopsis thaliana	Viridiplantae	384		0	False	2
Q674X7	Homo sapiens	Metazoa	775		0	False	1
Q5TEU4	Homo sapiens	Metazoa	345		0	False	1
J7M799	Ramazzottius varieornatus	Metazoa	237		0	False	1
Q10FT0	Oryza sativa subsp. japonica	Viridiplantae	824		0	False	1
Q8IU68	Homo sapiens	Metazoa	726		0	False	0
A4D126	Homo sapiens	Metazoa	451		0	False	0
Q9NGX9	Drosophila melanogaster	Metazoa	489		0	False	2
Q8N5F7	Homo sapiens	Metazoa	415		0	False	1
Q9VJV8	Drosophila melanogaster	Metazoa	361		0	False	1
Q9Y508	Homo sapiens	Metazoa	228		0	False	4
Q9LFP6	Arabidopsis thaliana	Viridiplantae	367		0	True	1
Q93096	Homo sapiens	Metazoa	173		0	False	0
Q940M2	Arabidopsis thaliana	Viridiplantae	476		0	False	3
P86452	Homo sapiens	Metazoa	979		0	False	3
O43592	Homo sapiens	Metazoa	962		0	False	0
A0A075TRA9	Penicillium expansum	Fungi	546		0	True	4
Q8N2I9	Homo sapiens	Metazoa	435		0	False	0
Q2M3C6	Homo sapiens	Metazoa	523		0	False	2
P06778	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	471		0	False	1
Q91WE2	Mus musculus	Metazoa	254		0	False	3
Q7RX40	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	158		0	False	2
P55197	Homo sapiens	Metazoa	1068		0	False	4
Q84TI7	Arabidopsis thaliana	Viridiplantae	506		0	True	3
Q9LES2	Arabidopsis thaliana	Viridiplantae	478		0	False	0
Q91VD9	Mus musculus	Metazoa	727		0	False	2
Q5BLX8	Rattus norvegicus	Metazoa	315		0	False	0
Q9ZVJ3	Arabidopsis thaliana	Viridiplantae	550		0	False	4
P0C7R1	Arabidopsis thaliana	Viridiplantae	239		0	False	1
Q9ZUT3	Arabidopsis thaliana	Viridiplantae	273		0	True	4
P33411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	251		0	False	4
P13468	Drosophila melanogaster	Metazoa	463		0	False	4
Q80VM7	Mus musculus	Metazoa	985		0	False	2
Q0WMY5	Arabidopsis thaliana	Viridiplantae	952		0	False	4
P25646	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	442		0	False	3
P58753	Homo sapiens	Metazoa	221		0	False	4
P32342	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	167		0	False	3
Q13342	Homo sapiens	Metazoa	867		0	False	1
Q8IXM6	Homo sapiens	Metazoa	262		0	True	3
Q06164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1454		0	False	2
P31115	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	442		0	False	0
Q9CZ42	Mus musculus	Metazoa	343		0	False	1
O08586	Mus musculus	Metazoa	403		0	False	2
O15431	Homo sapiens	Metazoa	190		0	True	1
P19889	Drosophila melanogaster	Metazoa	317		0	False	0
Q941Q3	Arabidopsis thaliana	Viridiplantae	524		0	False	4
Q969S3	Homo sapiens	Metazoa	477		0	False	4
Q923W1	Mus musculus	Metazoa	853		0	False	1
O70405	Mus musculus	Metazoa	1051		0	False	3
A6NJ78	Homo sapiens	Metazoa	407		0	False	2
P47123	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	218		0	False	4
P40028	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	759		0	False	3
Q6RFZ7	Rattus norvegicus	Metazoa	1039		0	False	4
Q9ERS2	Mus musculus	Metazoa	144		0	True	0
O43299	Homo sapiens	Metazoa	807		0	False	4
P49789	Homo sapiens	Metazoa	147		0	False	3
Q9Y448	Homo sapiens	Metazoa	316		0	False	3
Q9W6V6	Gallus gallus	Metazoa	2705		0	False	3
P81449	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	96		0	False	2
Q7TNT2	Mus musculus	Metazoa	515		0	False	0
Q9VYX1	Drosophila melanogaster	Metazoa	101		0	False	1
Q8TC71	Homo sapiens	Metazoa	538		0	False	2
Q9EPL8	Mus musculus	Metazoa	1038		0	False	2
Q60698	Mus musculus	Metazoa	725		0	False	2
P08657	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)	Fungi	865		0	False	0
F4IF36	Arabidopsis thaliana	Viridiplantae	1295		0	False	1
W5U2K2	Catharanthus roseus	Viridiplantae	289		0	False	3
Q9P7L2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	425		0	False	0
Q96DZ5	Homo sapiens	Metazoa	547		0	False	0
P36068	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	246		0	False	0
Q557E7	Dictyostelium discoideum	Other	665		0	False	2
Q8L493	Arabidopsis thaliana	Viridiplantae	373		0	False	4
P40692	Homo sapiens	Metazoa	756		0	False	3
B9TSP7	Arabidopsis thaliana	Viridiplantae	548		0	False	2
Q9BXL8	Homo sapiens	Metazoa	241		0	False	3
P36421	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394		0	False	2
O15287	Homo sapiens	Metazoa	622		0	False	2
Q6C7L6	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	237		0	False	2
Q12339	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	254		0	False	4
P97287	Mus musculus	Metazoa	331		0	False	3
P40541	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1150		0	False	1
Q6NPM8	Arabidopsis thaliana	Viridiplantae	346		0	False	1
Q03338	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	469		0	False	3
Q6EPW7	Oryza sativa subsp. japonica	Viridiplantae	233		0	False	2
P0DOW4	Ramazzottius varieornatus	Metazoa	445		0	False	4
Q9Y6K0	Homo sapiens	Metazoa	416		0	True	3
P54730	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	416		0	False	4
Q94A68	Arabidopsis thaliana	Viridiplantae	377		0	False	0
Q9HAF1	Homo sapiens	Metazoa	191		0	False	2
P38292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413		0	True	0
P78965	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	464		0	False	1
Q9QWH1	Mus musculus	Metazoa	850		0	False	0
P32489	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	222		0	False	2
Q940Z2	Arabidopsis thaliana	Viridiplantae	724		0	False	0
P26188	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	188		0	False	1
Q9LSD0	Arabidopsis thaliana	Viridiplantae	332		0	False	3
Q05498	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	189		0	False	0
Q8ND71	Homo sapiens	Metazoa	665		0	False	2
Q96EH3	Homo sapiens	Metazoa	234		0	False	2
P53255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	507		0	False	2
P06180	Xenopus laevis	Metazoa	590		0	False	1
Q9HGL9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	252		0	False	4
F4IDB2	Arabidopsis thaliana	Viridiplantae	1325		0	False	1
Q9CWR7	Mus musculus	Metazoa	339		0	True	4
Q9ZNT7	Arabidopsis thaliana	Viridiplantae	286		0	True	3
P24309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	405		0	False	3
Q17635	Caenorhabditis elegans	Metazoa	590		0	False	4
Q9T0A4	Arabidopsis thaliana	Viridiplantae	250		0	False	2
Q9Y6G1	Homo sapiens	Metazoa	99		0	True	2
Q9D915	Mus musculus	Metazoa	106		0	False	3
Q9JJY3	Mus musculus	Metazoa	655		0	False	0
P10803	Secale cereale	Viridiplantae	353		0	True	2
Q10302	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	646		0	False	4
Q92522	Homo sapiens	Metazoa	213		0	False	1
Q96AP4	Homo sapiens	Metazoa	578		0	False	4
Q9USG8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1188		0	False	1
Q9UQN3	Homo sapiens	Metazoa	213		0	False	4
Q12090	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	404		0	False	0
Q9BQ65	Homo sapiens	Metazoa	265		0	False	4
Q4KMP7	Homo sapiens	Metazoa	808		0	False	1
O95104	Homo sapiens	Metazoa	1147		0	False	3
Q9Y808	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1063		0	False	1
Q9SJ12	Arabidopsis thaliana	Viridiplantae	240		0	False	3
Q99PV0	Mus musculus	Metazoa	2335		0	False	0
Q6Q547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	58		0	False	1
Q96IR7	Homo sapiens	Metazoa	371		0	False	2
F4IN23	Arabidopsis thaliana	Viridiplantae	321		0	False	1
Q8WT44	Caenorhabditis elegans	Metazoa	1178		0	False	2
Q07930	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	204		0	False	4
Q9P267	Homo sapiens	Metazoa	1494		0	False	4
P50110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	327		0	True	3
Q8BLG0	Mus musculus	Metazoa	1010		0	False	3
Q8GV05	Arabidopsis thaliana	Viridiplantae	106		0	False	0
Q75WU1	Oryza sativa subsp. japonica	Viridiplantae	93		0	False	3
Q99627	Homo sapiens	Metazoa	209		0	False	2
O77264	Drosophila melanogaster	Metazoa	361		0	False	1
Q61048	Mus musculus	Metazoa	376		0	False	0
Q01080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	415		0	False	1
Q9NU22	Homo sapiens	Metazoa	5596		0	False	0
O70372	Mus musculus	Metazoa	1122		0	False	2
P40360	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	574		0	False	2
Q09146	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	399		0	False	2
Q9HAJ7	Homo sapiens	Metazoa	183		0	False	1
Q21952	Caenorhabditis elegans	Metazoa	490		0	False	4
Q9DC70	Mus musculus	Metazoa	224		0	False	1
Q3UB74	Mus musculus	Metazoa	406		0	False	4
Q99732	Homo sapiens	Metazoa	161		0	False	0
P19173	Ipomoea batatas	Viridiplantae	64		0	True	1
O13895	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	377		0	False	0
Q2VWA4	Homo sapiens	Metazoa	1015		0	False	0
Q944H2	Arabidopsis thaliana	Viridiplantae	391		0	False	2
Q94AR8	Arabidopsis thaliana	Viridiplantae	509		0	False	0
Q9H4X1	Homo sapiens	Metazoa	137		0	False	0
Q8H1Q1	Arabidopsis thaliana	Viridiplantae	280		0	False	1
O13795	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	402		0	False	3
Q1RNF8	Mus musculus	Metazoa	542		0	False	4
P53154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	560		0	True	3
Q9HFE6	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	478		0	False	1
P49793	Rattus norvegicus	Metazoa	1816		0	False	4
Q9Y3Y2	Homo sapiens	Metazoa	248		0	False	4
Q8R0W0	Mus musculus	Metazoa	6548		0	False	3
Q9QZS8	Mus musculus	Metazoa	854		0	False	3
Q9LSA9	Arabidopsis thaliana	Viridiplantae	339		0	False	1
P38137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	543		0	False	2
O13881	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	537		0	False	0
Q9W413	Drosophila melanogaster	Metazoa	544		0	False	0
O13800	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	230		0	False	2
Q8BQP9	Mus musculus	Metazoa	257		0	False	4
Q9JJL0	Mus musculus	Metazoa	238		0	False	1
P29590	Homo sapiens	Metazoa	882		0	False	3
Q8K480	Mus musculus	Metazoa	584		0	True	0
Q9MBA1	Arabidopsis thaliana	Viridiplantae	536		0	False	0
O60381	Homo sapiens	Metazoa	514		0	False	2
P39927	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	425		0	False	1
Q969X6	Homo sapiens	Metazoa	686		0	False	0
A6NGQ2	Homo sapiens	Metazoa	149		0	False	2
O74361	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	356		0	False	1
P20290	Homo sapiens	Metazoa	206		0	False	3
P82249	Spinacia oleracea	Viridiplantae	130		0	False	2
Q384Y1	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	929		0	False	1
P34087	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	171		0	False	2
O14113	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	263		0	False	0
O74563	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	680		0	False	4
Q6PCT2	Homo sapiens	Metazoa	694		0	False	4
Q9Z2Q2	Mus musculus	Metazoa	478		0	False	2
Q8TAE8	Homo sapiens	Metazoa	222		0	False	3
P70698	Mus musculus	Metazoa	591		0	False	0
Q0WVF8	Arabidopsis thaliana	Viridiplantae	1134		0	False	0
O42804	Aspergillus niger	Fungi	945		0	False	3
P53920	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	997		0	False	3
P29617	Drosophila melanogaster	Metazoa	1703		0	False	2
Q53H47	Homo sapiens	Metazoa	684		0	False	0
P38207	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	520		0	False	1
Q1ZXU0	Caenorhabditis elegans	Metazoa	205		0	False	3
Q9CX92	Mus musculus	Metazoa	205		0	True	3
Q60865	Mus musculus	Metazoa	707		0	False	2
P40380	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	230		0	False	2
O94864	Homo sapiens	Metazoa	414		0	False	3
P53287	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111		0	False	0
P97346	Mus musculus	Metazoa	435		0	False	0
O43508	Homo sapiens	Metazoa	249		0	True	1
P38236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	366		0	False	0
O13919	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1075		0	False	2
Q9FNB0	Arabidopsis thaliana	Viridiplantae	1381		0	False	3
Q8N5C7	Homo sapiens	Metazoa	304		0	False	2
Q43295	Arabidopsis thaliana	Viridiplantae	276		0	False	2
Q9D4H9	Mus musculus	Metazoa	941		0	False	3
Q12406	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	477		0	False	1
P51959	Homo sapiens	Metazoa	295		0	False	1
P25398	Homo sapiens	Metazoa	132		0	False	4
P38172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	270		0	False	2
P00480	Homo sapiens	Metazoa	354		0	False	0
Q9V3Z1	Drosophila melanogaster	Metazoa	484		0	False	2
Q9VRJ0	Drosophila melanogaster	Metazoa	726		0	False	0
Q42496	Chlamydomonas reinhardtii	Viridiplantae	99		0	True	4
Q8WXW3	Homo sapiens	Metazoa	757		0	False	3
Q9NVU0	Homo sapiens	Metazoa	708		0	False	0
Q95QA6	Caenorhabditis elegans	Metazoa	663		0	False	3
Q8VEK3	Mus musculus	Metazoa	800		0	False	0
Q09739	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	210		0	False	4
Q9BXL5	Homo sapiens	Metazoa	484		0	False	2
Q62261	Mus musculus	Metazoa	2363		0	False	4
O95786	Homo sapiens	Metazoa	925		0	False	3
O74844	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244		0	False	4
O43313	Homo sapiens	Metazoa	823		0	False	1
Q8N9N2	Homo sapiens	Metazoa	400		0	False	0
Q22323	Caenorhabditis elegans	Metazoa	283		0	False	1
O13577	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133		0	False	3
Q93YW0	Arabidopsis thaliana	Viridiplantae	684		0	False	0
Q8NG98	Homo sapiens	Metazoa	312		0	True	0
P23508	Homo sapiens	Metazoa	829		0	False	1
Q9SN74	Arabidopsis thaliana	Viridiplantae	240		0	False	0
Q9CR14	Mus musculus	Metazoa	375		0	False	3
Q9UNE7	Homo sapiens	Metazoa	303		0	False	1
B3DH96	Danio rerio	Metazoa	325		0	True	4
Q8K0U4	Mus musculus	Metazoa	675		0	False	3
Q8BN78	Mus musculus	Metazoa	671		0	False	3
Q8WUA4	Homo sapiens	Metazoa	911		0	False	3
